tag,area,unit,role,nominal,mean,min,max,completeness_pct,nominal_pct
:GRAN_BED_TEMP,:granulation,:deg_c,:granulator_temperature,96.0,95.7365,83.68,97.9276,100.0,99.7256
:GYPSUM_FLOW,:filtration,:t_ph,:gypsum_rate,210.0,553.9783,0.0,749.2925,100.0,263.7992
:GYPSUM_FREE_P2O5,:filtration,:wt_pct,:gypsum_free_p2o5,0.65,0.4946,0.254,1.0243,100.0,76.095
:H2SO4_FLOW,:attack,:t_ph,:sulphuric_acid_flow,174.0,336.2936,0.0,438.3086,99.7374,193.2722
:MELT_DENSITY,:granulation,:count,:melt_density,1.62,1.6192,1.5144,2.1561,99.7603,99.9485
:MERCHANT_ACID_FLOW,:evaporation,:t_ph,:merchant_acid_rate,118.0,51.1103,0.0,67.0352,99.726,43.3138
:MILL_FEED_WATER,:beneficiation,:m3_ph,:mill_water,210.0,199.5971,0.0,223.806,99.8174,95.0462
:MILL_POWER,:beneficiation,:kw,:mill_load,4200.0,5282.4032,3320.0,6214.7966,99.7831,125.7715
:MILL_SOUND_DB,:beneficiation,:count,:mill_charge,88.0,96.0069,79.2,102.0,99.8516,109.0988
:OVERSIZE_PCT,:granulation,:pct,:oversize_pct,11.0,6.4382,0.0,13.4009,99.7032,58.5287
:P2O5_FEED_RATE,:attack,:t_ph,:p2o5_rate,46.8,118.9551,0.0,152.1799,99.6575,254.1775
:PROCESS_WATER_FLOW,:utilities,:m3_ph,:process_water_flow,420.0,402.8754,0.0,431.4675,99.8973,95.9227
:PRODUCT_FLOW,:granulation,:t_ph,:product_rate,268.0,196.5089,0.0,253.9299,99.9543,73.3242
:PRODUCT_MOISTURE,:granulation,:wt_pct,:product_moisture,1.75,1.733,0.914,2.0448,99.9201,99.0284
:PRODUCT_N,:granulation,:wt_pct,:product_n,18.1,18.1019,16.252,19.6687,99.5205,100.0103
:PRODUCT_WSP,:granulation,:wt_pct,:product_wsp,88.5,88.3028,79.26,89.7143,100.0,99.7772
:PUMP_VIBRATION,:utilities,:count,:pump_vibration,2.4,3.2284,0.728,7.1461,99.8174,134.5178
:REACTOR_LEVEL,:attack,:wt_pct,:reactor_level,74.0,65.6811,57.0275,72.0729,99.5662,88.7583
:REAGENT_FLOW,:flotation,:l_ph,:reagent_flow,300.0,528.5436,0.0,721.3381,99.7374,176.1812
:RECYCLE_ACID_FLOW,:attack,:m3_ph,:recycle_acid_flow,640.0,443.2206,0.0,503.2523,100.0,69.2532
:RECYCLE_RATIO,:granulation,:count,:recycle_ratio,2.8,6.8475,0.0,7.64,99.5205,244.5545
:ROCK_FEED,:attack,:t_ph,:rock_feed,150.0,375.6662,0.0,467.7527,100.0,250.4442
:ROCK_P2O5,:attack,:wt_pct,:rock_grade,31.2,31.985,27.504,35.0339,100.0,102.5161
:ROM_FEED,:beneficiation,:t_ph,:ore_feed,320.0,561.4858,0.0,646.8783,100.0,175.4643
:SCRUBBER_PH,:granulation,:count,:scrubber_ph,6.4,6.3671,4.728,7.6385,99.7717,99.4861
:SLURRY_DENSITY,:beneficiation,:wt_pct,:slurry_density,38.0,37.9924,29.2,45.3911,99.7717,99.9799
:SLURRY_SG,:attack,:count,:slurry_sg,1.52,1.465,1.3967,1.965,99.6005,96.381
:SO2_CONC,:acid_plant,:pct,:so2_concentration,11.0,11.2128,8.36,12.0456,99.7603,101.9348
:STACK_DUST,:granulation,:count,:stack_dust,18.0,21.4636,6.56,24.1996,99.8516,119.2423
:STACK_F,:filtration,:count,:stack_fluoride,2.6,2.6652,0.576,6.2477,99.5434,102.5067
:STEAM_FLOW,:utilities,:t_ph,:steam_flow,96.0,47.9074,0.0,72.7344,100.0,49.9035
:STRONG_ACID_P2O5,:evaporation,:wt_pct,:acid_strength,52.4,55.6985,48.528,57.62,99.8744,106.2949
:SULPHUR_FEED,:acid_plant,:t_ph,:sulphur_feed,58.0,110.2535,0.0,145.2778,99.8973,190.0922
:TAIL_P2O5,:flotation,:wt_pct,:tailings_grade,3.8,10.5282,1.776,12.0,99.7831,277.0586
:TURBINE_POWER,:utilities,:mw,:turbine_power,11.4,5.7692,3.1103,8.7734,100.0,50.6068
:WASH_WATER_FLOW,:filtration,:m3_ph,:wash_water_flow,195.0,187.8691,0.0,206.9266,99.8402,96.3431
:WEAK_ACID_P2O5,:filtration,:wt_pct,:acid_strength_weak,28.5,28.7625,25.42,29.912,99.8858,100.921
